from_station_name,from_station_id
"Indiana Ave & 40th St",201
"Western Ave & 21st St",203
"Ashland Ave & Division St",210
"May St & Fulton St",217
"Normal Ave & Archer Ave",209
"Damen Ave & Grand Ave",214
"California Ave & Division St",216
"Leavitt St & North Ave",213
"Ashland Ave & 21st St",208
"Halsted St & Dickens Ave",225
"Racine Ave & Belmont Ave",226
"Southport Ave & Waveland Ave",227
"Damen Ave & Cortland St",219
"Lincoln Ave & Roscoe St",230
"Sheridan Rd & Montrose Ave",231
"Martin Luther King Dr & 29th St",237
"Damen Ave & Melrose Ave",228
"Western Ave & Leland Ave",239
"Clark St & Montrose Ave",234
"Sedgwick St & Schiller St",236
"Clifton Ave & Armitage Ave",223
"Morgan St & Polk St",241
"Ravenswood Ave & Montrose Ave",238
"Lincoln Ave & Leavitt St",243
"Damen Ave & Leland Ave",242
"Milwaukee Ave & Rockwell St",222
"Wells St & 19th St",218
"Woodlawn Ave & 55th St",248
"Shore Drive & 55th St",247
"State St & 29th St",193
"Clarendon Ave & Junior Ter",245
"Ashland Ave & Belle Plaine Ave",246
"Wolcott Ave & Polk St",342
"State St & 33rd St",148
"California Ave & Francis Pl",259
"Hermitage Ave & Polk St",261
"Bissell St & Armitage Ave",113
"Broadway & Sheridan Rd",256
"Clifton Ave & Lawrence Ave",253
"Wentworth Ave & 24th St",132
"Calumet Ave & 18th St",338
"Southport Ave & Clark St",292
"Pine Grove Ave & Irving Park Rd",254
"Logan Blvd & Elston Ave",258
"Lincoln Ave & Waveland Ave",257
"Ashland Ave & Grand Ave",277
"Lake Shore Dr & North Blvd",268
"Cottage Grove Ave & 43rd St",271
"Ashland Ave & 13th St",275
"California Ave & North Ave",276
"Indiana Ave & 31st St",272
"Racine Ave & 15th St",274
"Western Ave & 24th St",281
"Franklin St & Arcade Pl",287
"Wells St & Evergreen Ave",291
"Broadway & Belmont Ave",296
"Halsted St & Maxwell St",282
"Morgan St & 31st St",280
"Larrabee St & Armitage Ave",288
"Wallace Ave & 35th St",278
"Michigan Ave & Jackson Blvd",284
"LaSalle St & Jackson Blvd",283
"Franklin St & Quincy St",286
"Wells St & Concord Ln",289
"Kedzie Ave & Milwaukee Ave",260
"Lake Park Ave & 47th St",267
"Rhodes Ave & 32nd St",263
"Cottage Grove Ave & Oakwood Blvd",265
"Stetson Ave & South Water St",264
"Broadway & Wilson Ave",293
"Broadway & Berwyn Ave",294
"Broadway & Argyle St",295
"Clark St & Schiller St",301
"Halsted St & Roscoe St",299
